V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2031.0745849609375,2031.4071,2031.384,2031.849,2031.2449,2030.9153,2032.2705,2032.086,2033.3057,2032.296,2034.1002,2033.4562,2032.6404,2032.2145
2973.314208984375,2974.4048,2976.079,2972.016,2969.8125,2973.9883,2967.6042,2970.705,2975.4978,2981.1138,2970.9258,2973.4075,2975.652,2970.0183
1128.1292724609375,1132.9724,1134.2379,1129.9917,1126.2915,1130.087,1131.0278,1129.4337,1135.501,1135.6079,1128.5222,1131.8788,1134.1321,1133.4557
1233.9658203125,1259.5531,1256.2673,1224.8625,1229.8472,1265.9298,1253.2507,1250.6309,1249.5156,1256.5977,1249.3048,1248.2485,1263.6346,1276.3496
5873.2890625,5874.682,5872.713,5879.178,5874.6157,5876.0,5877.209,5878.001,5879.4585,5878.234,5885.6895,5883.621,5877.244,5878.602
3123.73681640625,3124.4731,3127.3896,3127.3071,3115.8303,3124.4165,3127.695,3124.0938,3123.3618,3127.5635,3127.1812,3128.5156,3118.196,3124.2964
5274.31103515625,5339.519,5312.513,5316.577,5327.184,5321.2393,5380.1255,5379.4307,5377.8413,5330.8145,5358.097,5395.31,5335.84,5377.0044
1734.197998046875,1733.6718,1733.8179,1736.2528,1734.4869,1735.099,1734.8378,1735.2325,1734.5687,1734.1467,1737.5532,1736.2213,1734.7501,1735.2725
1586.694580078125,1586.1826,1586.3799,1588.4315,1586.9451,1587.448,1587.177,1587.499,1586.9296,1586.588,1589.4912,1588.3512,1587.1521,1587.5831
2624.17626953125,2624.1504,2624.5388,2628.5735,2624.2224,2625.8635,2626.489,2626.7646,2628.4,2627.4768,2629.795,2630.1707,2625.1858,2627.0916
2443.49267578125,2446.0166,2444.6414,2443.374,2443.6707,2446.7666,2444.1663,2443.7935,2443.8447,2443.013,2445.3354,2442.9568,2443.9797,2443.728
3671.860107421875,3674.8018,3675.49,3677.455,3676.7341,3672.91,3681.4854,3680.5098,3684.168,3681.9712,3684.1094,3687.8896,3678.5562,3681.7847
7240.2587890625,7247.8433,7245.71,7261.0405,7253.3857,7241.318,7260.5195,7261.1562,7270.5186,7268.4165,7264.0977,7280.835,7256.15,7267.247
5684.04150390625,5682.183,5682.8223,5690.872,5686.5415,5691.899,5685.0903,5687.541,5679.1636,5679.565,5695.8096,5690.726,5690.8433,5687.1772
7974.716796875,8039.15,7981.837,8027.533,8043.414,7998.6997,8079.792,8056.55,8096.9287,8064.0664,8184.6436,8173.166,8055.209,8103.3057
3076.3994140625,3075.5977,3076.7397,3078.8513,3078.743,3076.4019,3079.223,3081.108,3073.6797,3073.447,3079.6028,3079.2046,3076.6155,3077.072
4042.084716796875,4044.9648,4045.5442,4049.096,4046.2795,4042.482,4051.1064,4050.1736,4055.1948,4052.9758,4053.4595,4057.0425,4049.888,4052.528
9542.9111328125,9548.224,9545.798,9547.852,9555.689,9556.779,9554.543,9547.455,9553.246,9549.191,9548.656,9546.879,9553.975,9559.096
2700.41552734375,2700.2747,2705.308,2708.918,2700.802,2700.964,2704.2927,2705.605,2712.1294,2707.8315,2717.276,2713.2295,2710.768,2709.2358
