V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
604.55078125,582.30066,523.24146,487.94305,471.52063,458.5481,451.44202,452.49268,497.89252,530.2632,566.3791,584.08997,677.60205,755.01855,818.17944,873.93304,904.9417,908.471,892.41547,840.15125,816.92346,769.7355,730.16656,646.28796,605.72687,556.98755,506.37195,481.26678,487.8722,456.847,441.886,447.25748,471.4969,528.2977,546.8062,628.7656,685.1375,781.3462,792.2207,871.00085,880.0021,891.82367,898.31586,873.0255,813.71265,771.62756,716.3692,643.50507
2794.365966796875,2640.2368,2390.1113,2239.4263,2110.7815,2051.1987,2019.8317,1999.2214,2151.1863,2270.6553,2422.257,2485.659,2869.3586,3225.1777,3470.3872,3729.9868,3897.1409,3953.0176,3912.2861,3733.496,3674.439,3465.757,3304.0095,2982.0837,2800.0825,2579.5894,2310.8142,2194.2236,2183.7188,2022.7809,1977.7153,1981.5767,2065.3232,2280.3608,2344.4883,2661.1597,2929.7039,3279.912,3370.2815,3749.2363,3797.4792,3876.4062,3967.6875,3859.9429,3669.2493,3456.0835,3260.9502,2984.875
1188.59130859375,1125.9509,1076.236,996.97833,943.40955,921.9906,913.3416,893.7677,909.98627,911.09204,952.9428,974.1753,1049.3606,1138.1783,1192.0917,1259.9998,1331.8394,1349.706,1377.564,1349.5848,1359.3597,1322.1471,1297.1757,1205.8292,1175.4923,1133.9314,1028.1594,1010.99536,961.67554,894.0016,884.6643,880.86725,866.61804,927.0259,941.6454,987.54596,1058.8884,1135.8585,1160.776,1287.7347,1310.6377,1335.497,1385.1694,1363.5657,1349.5898,1302.0947,1263.0962,1229.1215
5463.2509765625,5111.2646,4820.022,4509.8457,4154.7866,4030.3237,3789.3555,3793.5193,3693.1812,3709.701,3712.6797,3795.001,3914.6208,4296.3926,4648.318,4903.3237,5313.9404,5551.7705,5846.5293,5858.968,5926.5024,5927.179,5935.456,5570.208,5378.116,5155.889,4656.6255,4476.7954,4144.888,3925.1428,3735.989,3672.4434,3543.7905,3664.808,3655.309,3753.5664,4024.1306,4359.1646,4455.212,5092.9385,5277.0737,5462.3076,5839.094,5860.0527,5980.865,5897.85,5733.8657,5646.095
3077.7919921875,2787.1812,2584.9211,2263.1965,1995.6018,1941.4663,1787.3296,1755.7146,1708.0134,1676.7661,1715.892,1769.0813,1825.3992,2096.3818,2392.7473,2581.1482,2912.3567,3065.9214,3348.481,3339.7341,3412.2686,3427.7405,3446.5332,3097.023,3010.3032,2820.7964,2404.4668,2288.9124,2002.5883,1809.7881,1678.5054,1681.0442,1581.4612,1620.593,1666.146,1729.5533,1902.272,2091.3696,2206.5889,2721.5872,2833.3538,3008.8723,3280.9297,3350.6826,3424.9116,3362.564,3224.4714,3157.0376
5123.9228515625,5214.489,5403.6123,5577.0435,5904.0986,6219.3657,6435.0576,6678.4805,6921.466,7161.9844,7254.5596,7289.252,7285.249,7192.32,6979.778,6790.039,6549.097,6251.115,6009.759,5722.697,5503.6606,5313.5713,5197.7744,5210.726,5101.4697,5193.5586,5452.118,5759.894,5847.0503,5875.666,6242.678,6625.073,6722.698,7148.4688,7351.733,7324.9814,7181.13,7225.528,7096.184,6715.7905,6505.184,6219.1357,5975.1094,5612.9023,5393.8613,5314.5815,5240.6147,5166.702
44048.4140625,41521.625,39605.56,36245.734,33263.227,32605.088,30688.336,30456.922,29778.582,29359.55,29530.701,30161.643,30725.469,33368.895,35782.6,37748.688,41048.098,42810.53,45635.125,46354.996,46972.945,47403.254,47610.027,44552.914,43477.367,41995.55,37853.86,36837.727,33479.297,31481.379,29941.137,29660.555,28259.305,29173.176,29161.367,29719.893,31423.246,33242.117,34339.39,39039.754,40769.934,42269.28,44998.336,45798.625,46913.906,46544.65,45148.715,45157.06
26914.953125,26027.566,24085.855,23140.18,22362.438,22183.666,22351.605,22395.38,24981.824,26299.547,27644.738,28845.258,31956.764,34305.6,36983.484,38436.695,39740.1,39397.14,38500.92,36370.855,35307.855,33392.93,31675.629,28217.445,26961.88,25322.723,23665.941,23031.469,22972.047,22162.164,22126.938,22645.395,23484.145,26090.088,27130.254,30240.572,31901.887,35659.14,35893.973,38206.48,38534.047,39117.734,38731.645,37978.957,34922.746,33370.395,31417.64,28271.967
35244.9609375,33862.168,31592.922,30349.861,29235.541,28567.271,28211.879,28079.125,29047.3,30129.547,31127.625,31720.873,34964.293,37917.1,40185.633,42420.92,44046.895,44585.023,44453.504,42837.277,42539.805,40797.57,39447.46,36779.25,35269.06,33313.496,30970.707,30009.25,29666.725,28352.16,27852.25,27803.66,28428.307,30153.66,30628.82,33161.9,35411.49,38531.402,39332.367,42830.582,43193.367,43945.594,44868.324,43939.06,42564.574,40684.984,39262.812,36948.656
431.0596923828125,421.48407,414.23676,402.11322,394.72314,392.8885,390.31558,388.2528,389.28253,388.38544,394.43063,397.3417,405.7943,418.77466,428.32437,438.40494,447.87488,451.17273,456.07703,453.09283,454.93723,449.85,447.50195,432.2983,428.32047,422.34467,406.80127,402.8243,397.05594,388.3269,386.67288,383.69562,382.85626,388.39603,391.67957,397.72083,409.02902,419.7747,423.23953,443.36353,445.0219,448.25516,456.72772,455.136,454.25943,447.5165,441.75366,436.23206
