V1,V2,V3,V4,V5,V6,V7,V8
6817.55908203125,6801.541,6810.9707,6785.4673,6815.851,6804.1655,6849.778,6786.7793
7047.90380859375,7036.0293,7036.957,7009.3584,7046.6045,7035.8726,7090.701,7002.6865
7155.64501953125,7164.452,7174.8984,7130.491,7172.6133,7159.262,7206.9824,7138.3706
7659.93701171875,7656.507,7662.2544,7632.2705,7666.644,7658.437,7696.393,7634.7104
1020.3997802734375,931.82526,1193.5454,1413.9219,1082.2991,990.74133,1226.811,1473.0312
9826.720703125,9822.273,9886.527,9936.953,9984.821,9969.601,10024.567,10055.336
3340.98193359375,3341.6191,3324.9626,3348.3994,3361.5293,3357.5134,3337.053,3367.295
2608.975830078125,2584.8992,2617.18,2649.2446,2651.9783,2629.1492,2648.6787,2677.9
2483.051513671875,2478.4683,2485.1929,2505.166,2508.2522,2501.3425,2499.5703,2521.8655
2544.209228515625,2534.2983,2553.653,2551.17,2544.8167,2536.2703,2553.0496,2550.6816
1154.3167724609375,1153.5787,1152.4728,1153.4968,1154.898,1154.609,1154.8942,1153.7188
3289.01513671875,3006.761,3287.504,3398.3032,3325.2617,3064.3337,3300.1775,3453.493
1753.16796875,1762.6969,1773.4124,1777.5112,1789.3391,1794.9521,1802.5623,1803.7201
12567.0615234375,12573.999,12602.9795,12624.907,12890.221,12849.824,12891.881,12902.275
1225.57861328125,1223.8745,1296.6229,1305.813,1236.3236,1233.5902,1305.1326,1301.9686
2031.89013671875,2026.5725,2106.489,2101.845,2102.1172,2086.8782,2156.4006,2146.684
2440.70556640625,2456.7434,2438.2598,2478.8716,2475.475,2492.2478,2466.819,2503.4258
4685.62451171875,4553.2827,4851.6167,4773.729,4739.1387,4554.7783,4856.425,4791.2627
5803.607421875,5821.61,5884.2266,5890.8047,5980.7104,5992.7705,6044.323,6044.235
6316.9345703125,6334.163,6342.7275,6422.4424,6431.769,6441.0283,6444.824,6514.2197
9760.314453125,9770.835,9844.944,9963.354,9977.857,9980.852,10021.502,10138.9375
5061.88037109375,5103.561,5149.178,5215.957,5118.068,5165.5137,5206.8755,5248.7056
6014.59033203125,5925.8384,6075.2036,6144.4224,6086.0938,5997.465,6125.34,6193.299
2317.58251953125,2321.088,2338.5122,2323.9956,2319.2917,2321.818,2338.0837,2326.4011
1370.4705810546875,1371.6566,1380.7352,1374.9778,1370.2262,1373.0791,1382.7341,1375.1404
7511.412109375,6976.381,7337.0664,8985.481,7675.4043,7116.126,7486.8115,9127.337
9140.0341796875,9173.648,9175.904,9163.127,9163.246,9174.404,9199.291,9186.106
5054.65234375,5089.627,5017.9834,4944.9517,5092.999,5138.8154,5064.091,4989.025
1891.72607421875,1884.1909,1884.1383,1880.3805,1895.5555,1885.3939,1883.1006,1887.247
3100.9736328125,3111.9014,3071.7705,3081.1138,3100.337,3117.146,3066.8005,3082.4482
2473.132568359375,2495.9917,2465.21,2475.9934,2475.1516,2492.3462,2467.373,2479.8945
4764.685546875,4690.4355,4706.9297,4675.4473,4786.699,4706.285,4707.42,4713.3276
8253.7626953125,8304.859,8286.07,8254.159,8292.8125,8332.321,8323.392,8280.711
7122.89453125,7178.02,7138.939,7133.075,7125.7856,7168.891,7133.842,7142.2627
10093.521484375,10240.097,10187.188,10028.175,10101.728,10244.115,10216.308,10020.428
9133.1494140625,9123.803,9135.674,9118.248,9202.616,9208.447,9209.213,9200.917
4440.21875,4423.7446,4389.934,4398.6787,4419.1123,4414.4663,4374.341,4400.9194
6328.36083984375,6294.8535,6322.8667,6325.652,6332.725,6321.484,6345.9116,6356.909
5450.72607421875,5584.217,6137.6255,6022.8687,5531.9224,5650.0166,6175.5513,6074.4834
5236.5068359375,5272.1733,5261.7104,5263.3145,5289.762,5321.092,5309.966,5303.816
1903.439208984375,1901.5333,1903.304,1903.4463,1907.937,1904.9923,1907.6969,1906.8344
2113.499267578125,2102.5664,2104.171,2105.4067,2121.9915,2110.923,2112.6692,2112.5552
5416.26416015625,5474.573,5437.355,5454.5977,5467.2974,5529.285,5478.3667,5498.0293
1278.3428955078125,1283.697,1272.9164,1271.9883,1283.827,1288.3435,1277.0812,1275.0713
1922.9892578125,1915.419,1918.8182,1918.592,1929.2878,1920.606,1923.9108,1922.1775
3375.96826171875,3392.9382,3397.6218,3388.9531,3394.3362,3402.0867,3408.4229,3393.7297
9609.5185546875,9694.894,9656.333,9677.36,9631.385,9708.13,9684.145,9709.635
1404.9683837890625,1381.9596,1396.3649,1405.3496,1408.5216,1384.1455,1402.6423,1409.4197
8888.2099609375,9018.614,8973.31,8910.307,8920.483,9048.042,9036.115,8967.41
9184.234375,9290.526,9193.459,9217.016,9157.033,9290.944,9191.34,9211.161
