V1,V2,V3,V4,V5,V6,V7,V8
6838.12841796875,6811.954,6816.796,6803.8853,6838.361,6823.806,6849.386,6830.0503
7070.93603515625,7054.324,7058.1606,7053.428,7065.759,7063.803,7098.577,7077.396
7185.95166015625,7177.4414,7159.1357,7159.6274,7153.226,7169.0776,7181.807,7176.971
7681.51220703125,7677.076,7675.431,7674.2437,7675.5806,7687.1543,7710.3726,7695.391
999.9155883789062,908.46893,1169.1334,1424.1632,1026.778,899.6859,1209.3578,1478.1135
9831.3681640625,9805.278,9887.421,9927.502,9965.717,9941.474,10021.757,10045.302
3340.400390625,3335.674,3326.838,3345.2288,3357.5112,3353.386,3343.0315,3358.025
2604.28515625,2577.2727,2610.2747,2634.2942,2638.2563,2609.6792,2645.0828,2666.6287
2487.835693359375,2476.5767,2487.1016,2497.9172,2504.2817,2495.5667,2503.5046,2512.1934
2545.532958984375,2534.9783,2562.2346,2558.0195,2545.8027,2540.794,2565.0337,2560.7654
1152.937744140625,1151.7781,1151.531,1152.5398,1152.948,1154.0321,1151.8374,1153.6881
3233.935302734375,2971.7244,3213.3953,3373.5613,3246.8018,2986.9146,3256.4722,3441.441
1757.3096923828125,1762.4626,1775.9027,1773.8473,1793.2389,1793.5643,1805.0875,1803.8735
12453.2421875,12522.363,12572.957,12660.791,12858.376,12933.238,12998.11,13058.552
1238.2674560546875,1221.9423,1297.4557,1305.9662,1250.453,1221.089,1311.4713,1322.7764
2030.182861328125,2015.5991,2077.831,2077.394,2082.979,2074.5771,2129.337,2134.3857
2440.993408203125,2461.0808,2444.173,2480.1199,2482.6616,2501.1768,2483.0603,2510.7002
4686.48828125,4520.084,4867.873,4761.727,4718.1685,4533.132,4924.0605,4763.7915
5767.15283203125,5770.5654,5838.912,5875.7915,5904.6865,5937.6724,6007.9204,6011.831
6301.37158203125,6317.15,6310.3584,6394.904,6395.852,6424.1816,6411.6523,6478.879
9726.89453125,9709.435,9785.529,9881.668,9880.077,9902.314,9959.622,10038.342
5094.5,5122.442,5154.953,5238.1978,5140.186,5176.6035,5206.6484,5308.0903
5993.8212890625,5915.4434,6049.125,6136.2817,6050.7935,5966.1255,6119.8394,6203.1064
2325.505126953125,2321.4553,2332.0315,2325.2778,2323.2734,2323.0732,2330.437,2326.8547
1371.3607177734375,1369.9,1377.717,1369.031,1369.0472,1371.2228,1378.3403,1370.3503
7296.39599609375,6897.6416,7225.6523,9083.651,7380.0215,7088.387,7361.0645,9209.874
9170.8837890625,9155.781,9173.882,9156.799,9158.686,9156.318,9171.047,9157.989
5053.873046875,5036.6045,4966.5586,4946.2954,5095.0786,5117.7866,5029.9126,4998.4814
1877.4544677734375,1875.8645,1877.6637,1871.0294,1894.171,1886.8512,1896.4182,1901.349
3099.63525390625,3115.467,3069.7515,3080.4602,3098.1484,3118.565,3066.912,3082.2031
2474.995849609375,2494.8528,2475.2505,2488.5115,2475.645,2493.6562,2472.6494,2487.4841
4728.19580078125,4677.142,4660.74,4650.593,4756.6094,4681.197,4666.7593,4699.3647
8252.7890625,8296.916,8285.916,8278.208,8322.317,8356.827,8343.239,8336.535
7148.88671875,7182.3037,7160.167,7171.715,7160.981,7190.3667,7154.157,7175.508
10094.412109375,10182.32,10168.739,10013.931,10109.42,10200.26,10182.602,10022.415
