V1,V2,V3,V4,V5,V6
7227.53564453125,7266.348,7329.301,7350.5386,7359.7866,7356.9194
1571.6820068359375,1552.5864,1520.0155,1515.8413,1546.4977,1581.987
8593.2744140625,8827.329,9035.596,9237.037,9469.27,9741.352
9914.900390625,10166.912,10379.641,10633.669,10897.174,11189.748
7182.82080078125,7506.669,7844.964,8086.3213,8397.594,8757.676
4151.009765625,4245.367,4350.697,4516.7837,4678.006,4911.229
3686.171630859375,3675.1765,3729.2185,3826.751,3950.3281,4085.7454
2399.770263671875,2392.5183,2391.271,2389.6162,2388.2236,2388.705
2318.068603515625,2338.6145,2357.5464,2381.6482,2407.7676,2446.0176
2303.944580078125,2285.6887,2291.6162,2293.248,2306.4832,2317.96
1491.42529296875,1497.0968,1507.8137,1520.4482,1533.6494,1551.5605
2031.0406494140625,2082.81,2134.5452,2186.7488,2237.1572,2311.4421
4696.6533203125,4772.228,4919.804,4971.361,5064.0083,5088.79
5111.33740234375,5172.7656,5285.318,5334.486,5397.1816,5435.6533
5479.47998046875,5583.06,5752.849,5855.094,5956.876,6073.2466
2569.158935546875,2592.7903,2636.6138,2660.366,2658.325,2655.858
3865.368896484375,3917.5327,3999.7966,4032.199,4087.0796,4112.953
3196.75634765625,3217.1216,3262.411,3279.8352,3283.65,3275.6113
3060.31298828125,3145.32,3348.4395,3611.159,3781.6382,4092.9004
6537.37109375,6628.6235,6765.104,6926.1094,7062.7153,7263.623
9486.4296875,9702.383,10032.875,10500.6045,10851.306,11354.866
4362.69287109375,4293.245,4388.4663,4467.219,4621.6455,4795.495
9654.13671875,9261.972,9258.983,9100.209,9252.429,9364.463
8845.2265625,8426.749,8484.742,8382.347,8629.808,8718.162
2366.44921875,2379.0564,2439.1812,2516.3096,2576.3096,2676.1904
7332.78271484375,7173.782,7319.4346,7482.416,7715.5283,7990.608
1763.693603515625,1735.3108,1764.3784,1799.1699,1855.671,1916.0107
1719.6597900390625,1689.3715,1714.1428,1743.1847,1785.4434,1841.6583
4187.55908203125,4160.712,4181.1357,4206.222,4260.592,4311.243
4575.59765625,4684.554,4788.8228,4900.629,5000.308,5155.5713
3724.079345703125,3697.3755,3687.497,3672.9526,3681.5215,3672.8428
5446.09375,5482.8213,5530.0312,5602.243,5672.9727,5776.927
1279.6343994140625,1298.2,1316.9282,1336.4005,1353.2195,1378.6973
1701.605224609375,1717.252,1734.2241,1751.5675,1773.5017,1803.3257
3431.89111328125,3474.0654,3523.185,3588.2695,3656.5288,3750.2046
1164.176513671875,1166.679,1173.3679,1183.2816,1194.9983,1210.2278
4015.0244140625,4039.304,4092.764,4163.0186,4237.421,4343.163
1273.10693359375,1870.0337,2828.8936,2852.4814,2530.5796,2077.624
3830.463623046875,3941.3633,4039.937,4147.462,4225.8525,4312.8965
4757.08203125,4864.0938,5020.7363,5114.7305,5253.1865,5330.744
14687.10546875,14887.495,15207.697,15331.279,15587.644,15708.172
5922.70703125,6241.8115,6584.4814,6910.5107,7248.796,7680.1533
2953.470458984375,3080.53,3225.316,3355.0977,3498.442,3646.9534
10264.2861328125,10562.737,10888.843,11205.286,11521.998,11807.244
10203.7119140625,10445.895,10730.447,10977.84,11254.469,11493.142
6481.0478515625,6833.7734,7217.5625,7584.1006,7995.403,8440.103
6490.0546875,6843.5938,7227.8403,7595.1035,8007.1665,8452.62
6844.22802734375,6875.9766,6901.4307,6927.411,6889.9194,6854.791
2519.870849609375,2540.7842,2565.005,2581.7952,2601.2417,2621.984
18636.181640625,18814.787,19028.65,19163.26,19336.861,19508.176
8190.32177734375,8247.616,8320.57,8353.442,8405.38,8453.781
18463.96875,19597.717,20622.098,21852.959,23085.66,24810.355
