V1,V2,V3,V4,V5,V6
7219.20751953125,7250.433,7309.5283,7301.7114,7353.3457,7371.8013
1642.44580078125,1587.9791,1554.7931,1546.1681,1542.8793,1578.6663
8569.779296875,8764.186,8962.883,9197.663,9452.804,9608.688
9880.51171875,10095.887,10302.602,10580.722,10870.664,11034.464
7153.7841796875,7438.3213,7717.6846,8000.376,8374.38,8607.756
4167.44140625,4256.689,4355.253,4540.56,4749.1123,4852.9824
3729.54443359375,3709.8667,3755.73,3862.3423,3985.8276,4042.6968
2400.923583984375,2396.4675,2397.6445,2391.6301,2388.538,2389.7407
2324.12060546875,2341.3647,2360.2861,2386.1223,2420.197,2439.7983
2323.382568359375,2299.9348,2308.1653,2301.3533,2301.6455,2312.2607
1496.855224609375,1501.1345,1510.397,1522.2898,1539.7323,1549.8337
2037.9923095703125,2085.5933,2126.166,2188.2422,2256.9119,2299.6602
4708.23828125,4813.414,4879.516,4960.635,5078.5693,5115.9404
5108.82421875,5179.3755,5236.8257,5301.887,5381.63,5405.362
5454.9990234375,5554.951,5660.368,5786.462,5911.869,5968.0215
2588.381591796875,2615.3198,2626.535,2634.4644,2673.505,2664.3596
3855.4912109375,3915.2544,3957.514,4007.6035,4074.0845,4091.4463
3197.000244140625,3228.242,3238.1658,3246.5688,3278.7268,3272.4695
3089.41162109375,3209.9307,3363.7192,3588.5964,3854.7363,3966.7725
6552.734375,6633.1055,6733.8843,6889.122,7056.6367,7144.681
9516.388671875,9723.5205,9991.729,10452.885,10904.212,11124.816
4440.8994140625,4353.481,4423.3584,4487.0127,4613.6406,4685.431
9756.9912109375,9441.54,9426.57,9323.458,9287.075,9399.559
8995.662109375,8599.7,8613.767,8514.461,8545.99,8691.078
2392.108642578125,2398.8386,2443.5818,2511.5503,2588.967,2626.0005
7536.287109375,7318.7085,7385.6226,7497.2773,7654.294,7815.8916
1801.347900390625,1765.2297,1784.4512,1810.967,1857.9987,1886.8789
1758.8680419921875,1714.9915,1727.7201,1747.3628,1775.2598,1804.1731
4227.9423828125,4186.2417,4202.187,4219.95,4255.299,4284.8486
